"","Assignment_Group","TITLE"
"1","F161 Sys. Mgm. EDW","JOB EWCFLK08 (EWPCPYLK08.0010.01191800.2624) ENDED IN ERROR 2624 tiludv"
"2","F161 Sys. Mgm. EDW","JOB EWCSHG08 (EWPSAKHG08.0010.01201800.1000) ENDED IN ERROR 1000 tiludv"
"3","F161 Sys. Mgm. EDW","JOB EWCSKS01 (EWPSAKKS01.0010.11131800.1625) ENDED IN ERROR 1625 tiludv"
"4","F162 Sys. Mgm. Quality Assurance","JOB QWCODGF7 (QWPENDTOEND.0005.10060600.U3E7) ENDED IN ERROR U3E7 tiludv"
"5","F162 Sys. Mgm. Quality Assurance","JOB QWCF0200 (QWPENDTOEND.0060.04030600.U3E7) ENDED IN ERROR U3E7 tiludv"
"6","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVYPG (ZWCDGFAKORZPA.0102.03190600.0012) ENDED IN ERROR 0012 tiludv"
"7","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCDCSX1 (ZWCULFACTINK.0005.02020600.0012) ENDED IN ERROR 0012 tiludv"
"8","F161 Sys. Mgm. EDW","JOB EWCWD030 (WDPDELVAPP030.0010.01071800.1012) ENDED IN ERROR 1012 tiludv"
"9","F161 Sys. Mgm. EDW","JOB EWCFPD06 (EWPCPYPD06.0010.02091800.1954) ENDED IN ERROR 1954 tiludv"
"10","F161 Sys. Mgm. EDW","JOB EWCSFI00 (EWPSACFI00.0010.05021800.JCL) ENDED IN ERROR JCL tiludv"
"11","F161 Sys. Mgm. EDW","JOB EWCSEB10 (EWPSAKEB10.0010.05251900.JCL) ENDED IN ERROR JCL tiludv"
"12","F161 Sys. Mgm. EDW","JOB EWC5F108 (EWC1F100ZPA.0112.04071800.0012) ENDED IN ERROR 0012 tiludv"
"13","F161 Sys. Mgm. EDW","JOB EWCSFN02 (EWPSAKFN02.0010.05081800.S04E) ENDED IN ERROR S04E tiludv"
"14","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCUPD24 (ZWCDGKCTOP2ZPA.0105.02060600.S04E) ENDED IN ERROR S04E tiludv"
"15","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCDCE45 (ZWCELDCAMFACT.0090.03020600.S322) ENDED IN ERROR S322 tiludv"
"16","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFPK27 (ZWCULFAKNPV.0035.04011100.JCL) ENDED IN ERROR JCL tiludv"
"17","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLIA59 (ZWCINDFTILG2.0045.02010600.U02E) ENDED IN ERROR U02E tiludv"
"18","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCLGF03 (ZWPDGLGDLUX.0025.03040600.0012) ENDED IN ERROR 0012 tiludv"
"19","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFHY2K (ZWCDGFAMZPA.0045.04090600.0012) ENDED IN ERROR 0012 tiludv"
"20","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCSIKRT (ZWCDGSHEDZPA.0186.11190600.JCL) ENDED IN ERROR JCL tiludv"
"21","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFPP01 (ZWPDGFTPPRICING.0010.03141800.0001) ENDED IN ERROR 0001 tiludv"
"22","F161 Sys. Mgm. EDW","DB2-Maxlimits EW00007D.EW00074S - EWWH_LKDAY_UDNYT_H - 1 - 20.61GB - Dec release"
"23","F162 Sys. Mgm. Quality Assurance","JOB QWCDFPCO (QWPDGFTPCORR.0005.01180600.0012) ENDED IN ERROR 0012 tiludv"
"24","F162 Sys. Mgm. Quality Assurance","JOB QWCRSI04 (EWPSACSI04.0005.07151800.1020) ENDED IN ERROR 1020 tiludv"
"25","F162 Sys. Mgm. Quality Assurance","JOB QWCQFN02 (EWPSAKFN02.0005.11101800.JCL) ENDED IN ERROR JCL tiludv"
"26","F162 Sys. Mgm. Quality Assurance","JOB QWCQFN02 (EWPSAKFN02.0005.12261801.JCL) ENDED IN ERROR JCL tiludv"
"27","F162 Sys. Mgm. Quality Assurance","JOB QWCF0002 (QWPF0002ZPAOD.0040.02010600.U3E7) ENDED IN ERROR U3E7 tiludv"
"28","F161 Sys. Mgm. EDW","JOB EWCRHB09 (EWPSAKHB09.0010.12311800.1008) ENDED IN ERROR 1008 tiludv"
"29","F161 Sys. Mgm. EDW","JOB EWCSVE02 (EWPSAKVE02.0010.03151800.0012) ENDED IN ERROR 0012 tiludv"
"30","F161 Sys. Mgm. EDW","JOB EWCRAC18 (EWPSACAC18.0010.04111800.1613) ENDED IN ERROR 1613 tiludv"
"31","F161 Sys. Mgm. EDW","JOB EGC23008 (EGPKTOSALDO.0018.08011800.0012) ENDED IN ERROR 0012 tiludv"
"32","F161 Sys. Mgm. EDW","JOB EWCSVE01 (EWPSAKVE01.0010.03161800.0012) ENDED IN ERROR 0012 tiludv"
"33","F161 Sys. Mgm. EDW","JOB DUCLOI4V (DUCLOI4VZPA.0005.05310600.0008) ENDED IN ERROR 0008"
"34","F162 Sys. Mgm. Quality Assurance","JOB QWCQLN53 (EWPSAKLN53.0005.03121800.0012) ENDED IN ERROR 0012 tiludv"
"35","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCKKM05 (ZWPKRKREDOVTKT.0010.01271319.0012) ENDED IN ERROR 0012 tiludv"
"36","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFVK24 (ZWCDGFAKORZPA.0152.07090600.0012) ENDED IN ERROR 0012 tiludv"
"37","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCFKY3F (ZWCULFAK1ZPA.0135.04060600.0012) ENDED IN ERROR 0012 tiludv"
"38","F163 Sys. Mgm. EDW Infrastructure","JOB ZWCIMPCP (ZWPHSKUBEDAGLIG.0090.08241800.0008) ENDED IN ERROR 0008 tiludv"
"39","F161 Sys. Mgm. EDW","JOB EWCSVI20 (EWPSAKVI20.0010.07271800.1644) ENDED IN ERROR 1644 tiludv"
"40","F162 Sys. Mgm. Quality Assurance","JOB QWCQCR35 (EWPSAKCR35.0005.01171800.1020) ENDED IN ERROR 1020 tiludv"
"41","F162 Sys. Mgm. Quality Assurance","JOB QWCFEH10 (QWPFEG10W.0005.04160600.U3E7) ENDED IN ERROR U3E7 tiludv"
"42","F162 Sys. Mgm. Quality Assurance","JOB QWCQVD02 (EWPSAKVD02.0005.07151800.1020) ENDED IN ERROR 1020 tiludv"
"43","F162 Sys. Mgm. Quality Assurance","JOB QWCDCM04 (QWPENDTOEND.0080.09090600.1020) ENDED IN ERROR 1020 tiludv"
"44","F162 Sys. Mgm. Quality Assurance","JOB QWCDCM04 (QWPENDTOEND.0080.10060600.1020) ENDED IN ERROR 1020 tiludv"
"45","F161 Sys. Mgm. EDW","JOB BYC80651 (BYPBYC80651.0005.08190829.0008) ENDED IN ERROR 0008 tiludv"
"46","F161 Sys. Mgm. EDW","JOB DUCNSP0E (DUCNSP0EZPA.0005.11090600.1000) ENDED IN ERROR 1000 tiludv"
"47","F161 Sys. Mgm. EDW","JOB EWCSZW04 (EWPSAKZW04.0010.02170600.0004) ENDED IN ERROR 0004 tiludv"
